dunkel | dark
fotogen | photogenic
fotografisch | photography
hell | bright
scharf | in focus
uberbelichtet | overexposed
die unscharf | out of focus
die unterbelichtet | underexposed
die aufnahme | photo
die batteie | battery
die blende | diaphragm
die Blitzlichtaufnahme | photo made with flash 
die brennweite | focal distance
die digitalkamera | digital camera
die fotografie | photography
die fotografin | photographier
die kamera | camera
die speicherkarte | memory card
die Spiegelreflexkamera | SLR camera
die Vergrosserung | enlargement
die Fotoausrustung | photo gear
der abzug | copy
der akku | battery
der Auslöser | release button
der autofocus | autofocus
der bildschirm | monitor
der blitz | flash
der film | film
der fileter | filter
der Focus | focus
der fotoapparart | camera
der Fotograf | photographer
der HJinergrund | background
der Schanappschuiss | snapshot
der sensor | sensor
der speicher | memory
der sucher | viewfinder
der vordergund | foreground
der zoom | zoom
das album | album
das blitzlicht | flash
das farbphoto | color photo
das photo | photo
das handy | cellphone
das ladegerat | charger
das licht | light 
das motiv | subject
das negativ | negative
das object | subject of photo
das objective | lens
das schwarzweissphoto | black and white photo
das teleobjecktiv | zoom lens
das zubehor | accessories
ein film migt 36 aufnahmen | 36 frames film
die fotografie | photo
aufnahmen | to record take a picture
blitzen | to use flash
den Ausöser drücken | to push the release button
den Film einlegen | to put in film
drucken | to push
einsetzen | ot insert
einstellen | to adjust
entwicklen | to develop
fotografiern | to take pictures
fotos machen | to take pictures
laden | to charege (battery)
speichern | to store or to save
aufnahmen machen | to take pictures
sämtlich | whole
ähnlich | similar
historisch | historical
bewegend | touching (emotional)
mittelmäßig | so-so / average
eitel | arrogant
sicher | secure
alles in einem | all in all
mal sehen | all in all
es geht darum | the point is 
das handyphoto | cell phone photo
das laptop | the laptop
die kollegin | colleague
die Bürokollegin | colleague
die nationalmannschaft | national team
das handy | cell phone
die aufnahme | picture
der weltmeister | wolrld champiopn
der beweis | proof
die anwesenheit | presense
der prominente | a celeberity
das kiunstwerk | artwork
der augenblick | moment
das gedachtnis | memory
der speicherplatz | memory (computer)
das endspiel | final(game)
spichern | store(data)
aufnehmen | to record to take a picture
schätzen | to estimate
passen | to fit
löschen | to erase
hochladen | to upload
empfangen | to receive
etw. festhalten | to capture
ein foto schiessen | to snap
laden | to load
ein foto entwicklen | to develop
sich an etw. erinnern | to remember something
etw wahrnehmen | to preceive something
etw. verpassen | to miss something
uberlegen | to think about
sich auf etw. verlassen | to rely on something
schützen | to protect
genügen | to be ebnough
beten | to pray
